Star birthyear not int: StageName:The Andrews Sisters, Birthyear: null.
Star already exists: StageName:Patsy Kensit, Birthyear:1969.
Star already exists: StageName:Bill Kerr, Birthyear: null.
Star already exists: StageName:Margot Kidder, Birthyear:1948.
Star already exists: StageName:Nicole Kidman, Birthyear:1967.
Star already exists: StageName:Val Kilmer, Birthyear:1959.
Star already exists: StageName:Alan King, Birthyear:1924.
Star already exists: StageName:Stephen King, Birthyear:1940.
Star already exists: StageName:Ben Kingsley, Birthyear:1944.
Star already exists: StageName:Greg Kinnear, Birthyear:1963.
Star already exists: StageName:Sally Kirkland, Birthyear: null.
Star already exists: StageName:Kevin Kline, Birthyear: null.
Star already exists: StageName:Shirley Knight, Birthyear:1937.
Star already exists: StageName:Jeroen Krabbe, Birthyear: null.
Star already exists: StageName:Alice Krige, Birthyear: null.
Star already exists: StageName:Kris Kristofferson, Birthyear:1936.
Star already exists: StageName:Hardy Kruger, Birthyear:1928.
Star already exists: StageName:Burt Kwouk, Birthyear:1930.
Star already exists: StageName:David Ladd, Birthyear: null.
Star already exists: StageName:Diane Ladd, Birthyear:1932.
Star already exists: StageName:Christine Lahti, Birthyear: null.
Star already exists: StageName:Lorenzo Lamas, Birthyear: null.
Star already exists: StageName:Christopher Lambert, Birthyear: null.
Star already exists: StageName:Martin Landau, Birthyear:1933.
Star already exists: StageName:Judy Landers, Birthyear: null.
Star already exists: StageName:Diane Lane, Birthyear:1965.
Star already exists: StageName:Mike Lane, Birthyear: null.
Star already exists: StageName:Jessica Lange, Birthyear:1949.
Star already exists: StageName:Louise Lasser, Birthyear:1939.
Star already exists: StageName:Ed Lauter, Birthyear:1940.
Star already exists: StageName:John Phillip Law, Birthyear:1937.
Star already exists: StageName:Leigh Lawson, Birthyear:1944.
Star already exists: StageName:Cloris Leachman, Birthyear:1926.
Star already exists: StageName:Denis Leary, Birthyear:1958.
Star already exists: StageName:Cinque Lee, Birthyear: null.
Star already exists: StageName:Mark Lee, Birthyear: null.
Star already exists: StageName:Jennifer Jason Leigh, Birthyear:1961.
Star already exists: StageName:Michael Lembeck, Birthyear: null.
Star already exists: StageName:John Lennon, Birthyear: null.
Star already exists: StageName:Rula Lenska, Birthyear: null.
Star already exists: StageName:Tea Leoni, Birthyear: null.
Star already exists: StageName:Michael Lerner, Birthyear: null.
Star already exists: StageName:David Lewis, Birthyear: null.
Star already exists: StageName:Geoffrey Lewis, Birthyear: null.
Star already exists: StageName:Joe Lewis, Birthyear: null.
Star already exists: StageName:Hal Linden, Birthyear:1932.
Star already exists: StageName:Eugene Lipinski, Birthyear: null.
Star already exists: StageName:Virna Lisi, Birthyear:1937.
Star already exists: StageName:John Lithgow, Birthyear: null.
Star already exists: StageName:Jack Livesey, Birthyear:1901.
Star already exists: StageName:Christopher Lloyd, Birthyear: null.
Star already exists: StageName:Robert Loggia, Birthyear:1930.
Star already exists: StageName:Karina Lombard, Birthyear:1969.
Star already exists: StageName:John Lone, Birthyear: null.
Star already exists: StageName:Traci Lords, Birthyear: null.
Star already exists: StageName:Lyle Lovett, Birthyear:1958.
Star already exists: StageName:Ralph Macchio, Birthyear: null.
Star already exists: StageName:Andie MacDowell, Birthyear: null.
Star already exists: StageName:Kyle MacLachlan, Birthyear: null.
Star already exists: StageName:Shirley MacLaine, Birthyear:1934.
Star already exists: StageName:Jena Malone, Birthyear:1984.
Star already exists: StageName:Patrick MacNee, Birthyear:1922.
Star already exists: StageName:William H. Macy, Birthyear: null.
Star already exists: StageName:Amy Madigan, Birthyear: null.
Star already exists: StageName:Madonna, Birthyear:1959.
Star already exists: StageName:John Mahoney, Birthyear: null.
Star already exists: StageName:Mako, Birthyear: null.
Star already exists: StageName:Patrick Malahide, Birthyear: null.
Star already exists: StageName:John Malkovich, Birthyear: null.
Star already exists: StageName:Nick Mancuso, Birthyear:1956.
Star already exists: StageName:Kiti Manver, Birthyear: null.
Star already exists: StageName:Jane March, Birthyear:1973.
Star already exists: StageName:Cheech Marin, Birthyear: null.
Star already exists: StageName:Jane March, Birthyear:1973.
Star already exists: StageName:Bryan Marshall, Birthyear: null.
Star already exists: StageName:James Marshall, Birthyear:1967.
Star already exists: StageName:Penny Marshall, Birthyear: null.
Star already exists: StageName:Steve Martin, Birthyear:1945.
Star already exists: StageName:Tony Martin, Birthyear:1912.
Star already exists: StageName:Ron Masak, Birthyear: null.
Star already exists: StageName:Anna Massey, Birthyear:1937.
Star already exists: StageName:Mary Stuart Masterson, Birthyear:1967.
Star already exists: StageName:Peter Masterson, Birthyear: null.
Star already exists: StageName:Mary Elizabeth Mastrantonio, Birthyear: null.
Star already exists: StageName:Chiara Mastroianni, Birthyear:1972.
Star already exists: StageName:James Mathers, Birthyear: null.
Star already exists: StageName:Carmen Maura, Birthyear: null.
Star already exists: StageName:Elaine May, Birthyear:1932.
Star already exists: StageName:Melanie Mayron, Birthyear: null.
Star already exists: StageName:Frances Lee McCain, Birthyear: null.
Star already exists: StageName:Andrew McCarthy, Birthyear: null.
Star already exists: StageName:Kevin McCarthy, Birthyear:1914.
Star already exists: StageName:Malcolm McDowell, Birthyear:1943.
Star already exists: StageName:Stephen McHattie, Birthyear: null.
Star already exists: StageName:Michael McKean, Birthyear: null.
Star already exists: StageName:Lonette McKee, Birthyear: null.
Star already exists: StageName:Ian McKellen, Birthyear:1935.
Star already exists: StageName:Bill McKinney, Birthyear: null.
Star already exists: StageName:Ian McShane, Birthyear:1942.
Star already exists: StageName:Bette Midler, Birthyear:1944.
Star already exists: StageName:Sylvia Miles, Birthyear:1926.
Star already exists: StageName:Tomas Milian, Birthyear:1938.
Star already exists: StageName:Frank Miller, Birthyear: null.
Star already exists: StageName:Spike Milligan, Birthyear:1918.
Star already exists: StageName:Helen Mirren, Birthyear:1926.
Star already exists: StageName:Matthew Modine, Birthyear: null.
Star already exists: StageName:Angela Molina, Birthyear: null.
Star already exists: StageName:Ron Moody, Birthyear:1924.
Star already exists: StageName:Demi Moore, Birthyear: null.
Star already exists: StageName:Julianne Moore, Birthyear:1961.
Star already exists: StageName:Robert Moore, Birthyear:1927.
Star already exists: StageName:Terry Moore, Birthyear:1929.
Star already exists: StageName:Jeanne Moreau, Birthyear:1928.
Star already exists: StageName:Rita Moreno, Birthyear:1931.
Star already exists: StageName:Michele Morgan, Birthyear:1920.
Star already exists: StageName:Michael Moriarty, Birthyear: null.
Star already exists: StageName:David Morse, Birthyear: null.
Star already exists: StageName:Eddie Murphy, Birthyear:1960.
Star already exists: StageName:Michael Murphy, Birthyear: null.
Star already exists: StageName:Bill Murray, Birthyear: null.
Star already exists: StageName:Don Murray, Birthyear:1929.
Star already exists: StageName:Tom Murray, Birthyear: null.
Star already exists: StageName:James Naughton, Birthyear:1945.
Star already exists: StageName:Liam Neeson, Birthyear: null.
Star already exists: StageName:Sam Neill, Birthyear:1948.
Star already exists: StageName:Judd Nelson, Birthyear:1959.
Star already exists: StageName:Willie Nelson, Birthyear:1933.
Star already exists: StageName:Franco Nero, Birthyear:1942.
Star already exists: StageName:Bob Newhart, Birthyear:1923.
Star already exists: StageName:Paul Newman, Birthyear:1925.
Star already exists: StageName:Nichelle Nichols, Birthyear: null.
Star already exists: StageName:Jack Nicholson, Birthyear:1937.
Star already exists: StageName:Lisa Niemi, Birthyear: null.
Star already exists: StageName:Nick Nolte, Birthyear:1941.
Star already exists: StageName:Tom Noonan, Birthyear: null.
Star already exists: StageName:Chuck Norris, Birthyear:1939.
Star already exists: StageName:Mike Norris, Birthyear: null.
Star already exists: StageName:Kim Novak, Birthyear:1933.
Star already exists: StageName:Dan OBannon, Birthyear: null.
Star already exists: StageName:Andrea Occhipinti, Birthyear: null.
Star already exists: StageName:Kevin OConnor, Birthyear: null.
Star already exists: StageName:Chris ODonnell, Birthyear: null.
Star already exists: StageName:Catherine OHara, Birthyear: null.
Star already exists: StageName:Michael OKeefe, Birthyear: null.
Star already exists: StageName:Gary Oldman, Birthyear:1958.
Star already exists: StageName:Lena Olin, Birthyear: null.
Star already exists: StageName:Tatum ONeal, Birthyear:1962.
Star already exists: StageName:Jennifer ONeill, Birthyear: null.
Star already exists: StageName:Jennifer ONeill, Birthyear:1947.
Star already exists: StageName:Yoko Ono, Birthyear: null.
Star already exists: StageName:Per Oscarsson, Birthyear:1927.
Star already exists: StageName:Peter OToole, Birthyear:1932.
Star already exists: StageName:Frank Oz, Birthyear:1944.
Star already exists: StageName:Al Pacino, Birthyear:1939.
Star already exists: StageName:Joanna Pacula, Birthyear: null.
Star already exists: StageName:Gwyneth Paltrow, Birthyear:1973.
Star already exists: StageName:Joe Pantoliano, Birthyear: null.
Star already exists: StageName:Michael Pare, Birthyear: null.
Star already exists: StageName:Sarah Jessica Parker, Birthyear:1965.
Star already exists: StageName:Michael Parks, Birthyear:1938.
Star already exists: StageName:Dolly Parton, Birthyear:1946.
Star already exists: StageName:Michael Pataki, Birthyear: null.
Star already exists: StageName:Mandy Patinkin, Birthyear: null.
Star already exists: StageName:Sean Penn, Birthyear:1960.
Star already exists: StageName:Ron Perlman, Birthyear: null.
Star already exists: StageName:Bernadette Peters, Birthyear:1948.
Star already exists: StageName:Michelle Pfeiffer, Birthyear:1959.
Star already exists: StageName:Leslie Phillips, Birthyear:1924.
Star already exists: StageName:Michel Piccoli, Birthyear:1925.
Star already exists: StageName:Ronald Pickup, Birthyear:1940.
Star already exists: StageName:Bronson Pinchot, Birthyear: null.
Star already exists: StageName:Dominique Pinon, Birthyear: null.
Star already exists: StageName:Marie-France Pisier, Birthyear:1944.
Star already exists: StageName:Ingrid Pitt, Birthyear:1944.
Star already exists: StageName:Mary Kay Place, Birthyear: null.
Star already exists: StageName:Joan Plowright, Birthyear:1929.
Star already exists: StageName:Christopher Plummer, Birthyear:1927.
Star already exists: StageName:Roman Polanski, Birthyear:1933.
Star already exists: StageName:Sydney Pollack, Birthyear:1934.
Star already exists: StageName:Natalie Portman, Birthyear:1981.
Star already exists: StageName:Annie Potts, Birthyear: null.
Star already exists: StageName:Micheline Presle, Birthyear:1922.
Star already exists: StageName:Elvis Presley, Birthyear:1935.
Star already exists: StageName:Kelly Preston, Birthyear:1963.
Star already exists: StageName:Barry Primus, Birthyear:1938.
Star already exists: StageName:William Prince, Birthyear:1913.
Star already exists: StageName:Jurgen Prochnow, Birthyear: null.
Star already exists: StageName:David Prowse, Birthyear: null.
Star already exists: StageName:Jonathan Pryce, Birthyear:1947.
Star already exists: StageName:Dennis Quaid, Birthyear:1955.
Star already exists: StageName:Randy Quaid, Birthyear:1953.
Star already exists: StageName:Aidan Quinn, Birthyear: null.
Star already exists: StageName:Anthony Quinn, Birthyear:1915.
Star already exists: StageName:Harold Ramis, Birthyear: null.
Star already exists: StageName:Charlotte Rampling, Birthyear:1945.
Star already exists: StageName:Stephen Rea, Birthyear: null.
Star already exists: StageName:Ronald Reagan, Birthyear:1911.
Star already exists: StageName:Robert Redford, Birthyear:1937.
Star already exists: StageName:Lynn Redgrave, Birthyear:1943.
Star already exists: StageName:Vanessa Redgrave, Birthyear:1937.
Star already exists: StageName:Roger Rees, Birthyear:1944.
Star already exists: StageName:Frances Reid, Birthyear: null.
Star already exists: StageName:Carl Reiner, Birthyear:1922.
Star already exists: StageName:Judge Reinhold, Birthyear: null.
Star already exists: StageName:James Remar, Birthyear: null.
Star already exists: StageName:Burt Reynolds, Birthyear:1936.
Star already exists: StageName:Paul Rhys, Birthyear: null.
Star already exists: StageName:Beah Richards, Birthyear: null.
Star already exists: StageName:Joely Richardson, Birthyear: null.
Star already exists: StageName:Natasha Richardson, Birthyear: null.
Star already exists: StageName:Don Rickles, Birthyear:1926.
Star already exists: StageName:Leni Riefenstahl, Birthyear:1902.
Star already exists: StageName:Diana Rigg, Birthyear:1938.
Star already exists: StageName:John Ritter, Birthyear:1948.
Star already exists: StageName:Joan Rivers, Birthyear: null.
Star already exists: StageName:Sam Robards, Birthyear: null.
Star already exists: StageName:Eric Roberts, Birthyear:1956.
Star already exists: StageName:Julia Roberts, Birthyear:1967.
Star already exists: StageName:Rachel Roberts, Birthyear:1930.
Star already exists: StageName:Cliff Robertson, Birthyear:1925.
Star already exists: StageName:James Robertson, Birthyear: null.
Star already exists: StageName:Wayne Robson, Birthyear: null.
Star already exists: StageName:Jean Rochefort, Birthyear:1930.
Star already exists: StageName:Sam Rockwell, Birthyear:1969.
Star already exists: StageName:Mimi Rogers, Birthyear:1955.
Star already exists: StageName:Wayne Rogers, Birthyear:1934.
Star already exists: StageName:Mickey Rooney, Birthyear:1920.
Star already exists: StageName:Isabella Rossellini, Birthyear:1955.
Star already exists: StageName:George Rossi, Birthyear: null.
Star already exists: StageName:Leo Rossi, Birthyear: null.
Star already exists: StageName:Mickey Rourke, Birthyear:1957.
Star already exists: StageName:Gena Rowlands, Birthyear:1934.
Star already exists: StageName:Saul Rubinek, Birthyear: null.
Star already exists: StageName:Paul Rudd, Birthyear:1970.
Star already exists: StageName:William Russ, Birthyear: null.
Star already exists: StageName:Ken Russell, Birthyear: null.
Star already exists: StageName:Kurt Russell, Birthyear:1951.
Star already exists: StageName:Mark Rydell, Birthyear:1934.
Star already exists: StageName:Winona Ryder, Birthyear:1971.
Star already exists: StageName:Sabu, Birthyear:1924.
Star already exists: StageName:Soupy Sales, Birthyear:1926.
Star already exists: StageName:Peter Sallis, Birthyear:1921.
Star already exists: StageName:Jennifer Salt, Birthyear:1944.
Star already exists: StageName:William Sanderson, Birthyear: null.
Star already exists: StageName:Adam Sandler, Birthyear:1966.
Star already exists: StageName:Julian Sands, Birthyear: null.
Star already exists: StageName:Chris Sarandon, Birthyear:1942.
Star already exists: StageName:Susan Sarandon, Birthyear:1946.
Star already exists: StageName:Fred Savage, Birthyear:1976.
Star already exists: StageName:John Savage, Birthyear:1953.
Star already exists: StageName:Tom Savini, Birthyear: null.
Star already exists: StageName:Greta Scacchi, Birthyear:1960.
Star already exists: StageName:Roy Scheider, Birthyear:1934.
Star already exists: StageName:Avery Schreiber, Birthyear: null.
Star already exists: StageName:Arnold Schwarzenegger, Birthyear:1947.
Star already exists: StageName:Hanna Schygulla, Birthyear:1943.
Star already exists: StageName:Patti Scialfa, Birthyear: null.
Star already exists: StageName:Martin Scorsese, Birthyear: null.
Star already exists: StageName:Campbell Scott, Birthyear: null.
Star already exists: StageName:Steven Seagal, Birthyear:1952.
Star already exists: StageName:George Segal, Birthyear:1934.
Star already exists: StageName:Emmanuelle Seigner, Birthyear:1967.
Star already exists: StageName:Assumpta Serna, Birthyear: null.
Star already exists: StageName:Jane Seymour, Birthyear:1951.
Star already exists: StageName:Tupac Shakur, Birthyear:1971.
Star already exists: StageName:Harry Shannon, Birthyear:1890.
Star already exists: StageName:Omar Sharif, Birthyear:1932.
Star already exists: StageName:William Shatner, Birthyear:1931.
Star already exists: StageName:Helen Shaver, Birthyear: null.
Star already exists: StageName:Robert Shaw, Birthyear:1927.
Star already exists: StageName:Stan Shaw, Birthyear: null.
Star already exists: StageName:Wallace Shawn, Birthyear: null.
Star already exists: StageName:Charlie Sheen, Birthyear: null.
Star already exists: StageName:Martin Sheen, Birthyear:1940.
Star already exists: StageName:Sam Shepard, Birthyear:1943.
Star already exists: StageName:Martin Short, Birthyear:1950.
Star already exists: StageName:Ron Silver, Birthyear:1946.
Star already exists: StageName:Marc Singer, Birthyear: null.
Star already exists: StageName:Tom Skerritt, Birthyear:1933.
Star already exists: StageName:Christian Slater, Birthyear:1969.
Star already exists: StageName:Charles Smith, Birthyear:1920.
Star already exists: StageName:Kent Smith, Birthyear:1907.
Star already exists: StageName:Lois Smith, Birthyear:1930.
Star already exists: StageName:Maggie Smith, Birthyear:1934.
Star already exists: StageName:William Smith, Birthyear: null.
Star already exists: StageName:Wesley Snipes, Birthyear: null.
Star already exists: StageName:Paul Sorvino, Birthyear:1939.
Star already exists: StageName:Talisa Soto, Birthyear: null.
Star already exists: StageName:David Soul, Birthyear:1943.
Star already exists: StageName:Sissy Spacek, Birthyear:1950.
Star already exists: StageName:Vincent Spano, Birthyear: null.
Star already exists: StageName:Bud Spencer, Birthyear:1929.
Star already exists: StageName:Sylvester Stallone, Birthyear:1946.
Star already exists: StageName:John Standing, Birthyear:1934.
Star already exists: StageName:Maureen Stapleton, Birthyear:1925.
Star already exists: StageName:Mary Steenburgen, Birthyear:1952.
Star already exists: StageName:Rod Steiger, Birthyear:1925.
Star already exists: StageName:David Steinberg, Birthyear: null.
Star already exists: StageName:Daniel Stern, Birthyear: null.
Star already exists: StageName:Tom Stern, Birthyear: null.
Star already exists: StageName:Frances Sternhagen, Birthyear: null.
Star already exists: StageName:Andrew Stevens, Birthyear:1955.
Star already exists: StageName:Patrick Stewart, Birthyear: null.
Star already exists: StageName:David Ogden Stiers, Birthyear: null.
Star already exists: StageName:Hugo Stiglitz, Birthyear: null.
Star already exists: StageName:Ben Stiller, Birthyear: null.
Star already exists: StageName:John Stockwell, Birthyear: null.
Star already exists: StageName:Eric Stoltz, Birthyear:1962.
Star already exists: StageName:Christopher Stone, Birthyear: null.
Star already exists: StageName:Sharon Stone, Birthyear: null.
Star already exists: StageName:Meryl Streep, Birthyear:1949.
Star already exists: StageName:Don Stroud, Birthyear:1937.
Star already exists: StageName:Donald Sutherland, Birthyear:1935.
Star already exists: StageName:Kiefer Sutherland, Birthyear:1968.
Star already exists: StageName:Dudley Sutton, Birthyear:1933.
Star already exists: StageName:Bo Svenson, Birthyear:1941.
Star already exists: StageName:Dominique Swain, Birthyear: null.
Star already exists: StageName:Gary Swanson, Birthyear: null.
Star already exists: StageName:Patrick Swayze, Birthyear:1952.
Star already exists: StageName:Tilda Swinton, Birthyear: null.
Star already exists: StageName:Mr. T, Birthyear: null.
Star already exists: StageName:Quentin Tarantino, Birthyear: null.
Star already exists: StageName:Rod Taylor, Birthyear:1929.
Star already exists: StageName:Laurent Terzieff, Birthyear: null.
Star already exists: StageName:Charlize Theron, Birthyear: null.
Star already exists: StageName:Henry Thomas, Birthyear: null.
Star already exists: StageName:Kristin Scott Thomas, Birthyear: null.
Star already exists: StageName:Tim Thomerson, Birthyear: null.
Star already exists: StageName:Derek Thompson, Birthyear: null.
Star already exists: StageName:Emma Thompson, Birthyear: null.
Star already exists: StageName:Jack Thompson, Birthyear:1940.
Star already exists: StageName:Lea Thompson, Birthyear: null.
Star already exists: StageName:Uma Thurman, Birthyear:1971.
Star already exists: StageName:Cheryl Tiegs, Birthyear: null.
Star already exists: StageName:Jennifer Tilly, Birthyear: null.
Star already exists: StageName:Marisa Tomei, Birthyear: null.
Star already exists: StageName:Rip Torn, Birthyear:1931.
Star already exists: StageName:Stuart Townsend, Birthyear: null.
Star already exists: StageName:John Travolta, Birthyear:1954.
Star already exists: StageName:Guinevere Turner, Birthyear:1968.
Star already exists: StageName:Janine Turner, Birthyear:1964.
Star already exists: StageName:John Turner, Birthyear:1932.
Star already exists: StageName:Liv Tyler, Birthyear: null.
Star already exists: StageName:Cicely Tyson, Birthyear:1933.
Star already exists: StageName:Robert Urich, Birthyear: null.
Star already exists: StageName:Leonor Varela, Birthyear:1985.
Star already exists: StageName:Robert Vaughn, Birthyear:1932.
Star already exists: StageName:Diane Venora, Birthyear: null.
Star already exists: StageName:Abe Vigoda, Birthyear:1919.
Star already exists: StageName:Robert Viharo, Birthyear: null.
Star already exists: StageName:Jon Voight, Birthyear:1938.
Star already exists: StageName:Lindsay Wagner, Birthyear:1949.
Star already exists: StageName:Robert Wagner, Birthyear:1930.
Star already exists: StageName:Christopher Walken, Birthyear:1943.
Star already exists: StageName:Dee Wallace, Birthyear: null.
Star already exists: StageName:Julie Walters, Birthyear: null.
Star already exists: StageName:Fred Ward, Birthyear: null.
Star already exists: StageName:David Warner, Birthyear: null.
Star already exists: StageName:Lesley Ann Warren, Birthyear:1946.
Star already exists: StageName:Denzel Washington, Birthyear:1955.
Star already exists: StageName:Craig Wasson, Birthyear:1954.
Star already exists: StageName:John Waters, Birthyear: null.
Star already exists: StageName:Sam Waterston, Birthyear:1940.
Star already exists: StageName:Emily Watson, Birthyear:1967.
Star already exists: StageName:Sigourney Weaver, Birthyear:1949.
Star already exists: StageName:Bruce Weitz, Birthyear: null.
Star already exists: StageName:Dawn Wells, Birthyear: null.
Star already exists: StageName:Adam West, Birthyear:1929.
Star already exists: StageName:David White, Birthyear:1916.
Star already exists: StageName:Lynn Whitfield, Birthyear:1954.
Star already exists: StageName:Jose Wilker, Birthyear: null.
Star already exists: StageName:Fred Willard, Birthyear: null.
Star already exists: StageName:Esther Williams, Birthyear:1923.
Star already exists: StageName:JoBeth Williams, Birthyear: null.
Star already exists: StageName:John Williams, Birthyear:1903.
Star already exists: StageName:Robert Williams, Birthyear:1897.
Star already exists: StageName:Robin Williams, Birthyear:1951.
Star already exists: StageName:Treat Williams, Birthyear:1952.
Star already exists: StageName:Vanessa Williams, Birthyear:1963.
Star already exists: StageName:Vanessa Williams, Birthyear:1963.
Star already exists: StageName:Fred Williamson, Birthyear:1938.
Star already exists: StageName:Bruce Willis, Birthyear:1941.
Star already exists: StageName:Lambert Wilson, Birthyear: null.
Star already exists: StageName:Scott Wilson, Birthyear:1942.
Star already exists: StageName:Henry Winkler, Birthyear:1946.
Star already exists: StageName:Kate Winslet, Birthyear:1975.
Star already exists: StageName:David Wood, Birthyear: null.
Star already exists: StageName:Elijah Wood, Birthyear:1981.
Star already exists: StageName:James Woods, Birthyear: null.
Star already exists: StageName:Mary Woronov, Birthyear: null.
Star already exists: StageName:Robin Wright, Birthyear: null.
Star already exists: StageName:Vivian Wu, Birthyear: null.
Star already exists: StageName:Tsutomu Yamazaki, Birthyear: null.
Star already exists: StageName:Michael York, Birthyear:1942.
Star already exists: StageName:Susannah York, Birthyear:1941.
Star already exists: StageName:Burt Young, Birthyear: null.
Star already exists: StageName:Karen Young, Birthyear: null.
Star already exists: StageName:Robert Young, Birthyear:1907.
Star already exists: StageName:Renee Zellweger, Birthyear:1970.
Star already exists: StageName:Anthony Zerbe, Birthyear: null.
Star already exists: StageName:Adrian Zmed, Birthyear: null.
Star already exists: StageName:David Zucker, Birthyear: null.
Star already exists: StageName:Jerry Zucker, Birthyear: null.
Star already exists: StageName:Daphne Zuniga, Birthyear: null.
